Full_Name,position,year,Rank,Formatted_Valuation
Richie Leonard IV,OL,4,120.0,"$161,136.36"
Caziah Holmes,RB,4,160.0,"$103,000.00"
Luke Petitbon,OL,4,82.0,"$305,000.00"
Gavin Blackwell,WR,4,210.0,"$69,000.00"
Adrian Medley,OL,4,160.0,"$103,000.00"
Micah Pettus,OL,4,85.0,"$290,000.00"
Bryson Estes,OL,4,350.0,"$22,000.00"
Markeston Douglas,TE,4,175.0,"$92,500.00"
Darrell Jackson Jr.,DL,4,95.0,"$240,000.00"
Stefon Thompson,LB,4,190.0,"$82,000.00"
Earl Little Jr.,DB,3,68.0,"$380,000.00"
Daniel Lyons,DL,3,255.0,"$43,850.00"
Gavin Sawchuk,RB,3,180.0,"$89,000.00"
Roydell Williams,RB,4,72.0,"$350,000.00"
Gunnar Hansen,OL,4,150.0,"$110,000.00"
Deamontae Diggs,DL,4,250.0,"$45,000.00"
Jacob Rizy,OL,4,250.0,"$45,000.00"
Elijah Herring,LB,4,250.0,"$45,000.00"
Shyheim Brown,DB,4,250.0,"$45,000.00"
Tommy Castellanos,QB,4,70.0,"$355,000.00"
Omar Graham Jr.,LB,3,350.0,"$22,000.00"
Jeremiah Wilson,DB,4,250.0,"$45,000.00"
AJ Cottrill,LB,3,350.0,"$22,000.00"
Deante McCray,DL,3,350.0,"$22,000.00"
Conrad Hussey,DB,3,350.0,"$22,000.00"
Edwin Joseph,DB,2,450.0,"$12,500.00"
Duce Robinson,WR,3,31.0,"$1,500,000.00"
Lucas Simmons,OL,2,450.0,"$12,500.00"
Randy Pittman Jr.,TE,3,350.0,"$22,000.00"
Samuel Singleton Jr.,RB,2,450.0,"$12,500.00"
KJ Sampson,DL,2,450.0,"$12,500.00"
Jaylin Lucas,RB,3,350.0,"$22,000.00"
K.J. Kirkland,DB,2,450.0,"$12,500.00"
Blake Nichelson,LB,3,350.0,"$22,000.00"
Mason Arnold,LS,4,250.0,"$45,000.00"
Justin Cryer,LB,3,350.0,"$22,000.00"
Brock Glenn,QB,2,450.0,"$12,500.00"
Caleb LaVallee,LB,2,450.0,"$12,500.00"
Quindarrius Jones,DB,3,350.0,"$22,000.00"
Jonathan Daniels,OL,1,600.0,"$8,500.00"
Kam Davis,RB,2,450.0,"$12,500.00"
Jamorie Flagg,DL,1,600.0,"$8,500.00"
Camdon Frier,WR,1,600.0,"$8,500.00"
BJ Gibson,WR,2,450.0,"$12,500.00"
Jamari Howard,DB,1,600.0,"$8,500.00"
Elijah Moore,WR,1,600.0,"$8,500.00"
Charles Lester III,DB,1,600.0,"$8,500.00"
Landen Thomas,TE,2,450.0,"$12,500.00"
Christian White,DB,3,350.0,"$22,000.00"
Mac Chiumento,P,3,350.0,"$22,000.00"
Squirrel White,WR,4,250.0,"$45,000.00"
Jayson Jenkins,DL,3,350.0,"$22,000.00"
Jarvis Boatwright Jr.,DB,1,600.0,"$8,500.00"
Cai Bates,DB,1,600.0,"$8,500.00"
Ja'Bril Rawls,DB,2,450.0,"$12,500.00"
Lawayne McCoy,WR,2,450.0,"$12,500.00"
Micahi Danzy,WR,1,600.0,"$8,500.00"
Peyton Naylor,LS,2,450.0,"$12,500.00"
Manasse Itete,OL,1,600.0,"$8,500.00"
Jake Weinberg,PK,1,600.0,"$8,500.00"
Ricky Knight III,DB,1,600.0,"$8,500.00"
Jayden Parrish,LB,1,600.0,"$8,500.00"
Shamar Arnoux,DB,1,600.0,"$8,500.00"
Ousmane Kromah,RB,1,600.0,"$8,500.00"
Max Redmon,DB,1,600.0,"$8,500.00"
Kevin Sperry,QB,1,600.0,"$8,500.00"
Amaree Williams,TE,2,450.0,"$12,500.00"
Chavez Thompson,OL,1,600.0,"$8,500.00"
Josh Raymond,OL,1,600.0,"$8,500.00"
Tye Hylton,OL,1,600.0,"$8,500.00"
Michael Grant,QB,2,450.0,"$12,500.00"
Jaden Jones,DL,4,250.0,"$45,000.00"
Ashlynd Barker,DB,3,350.0,"$22,000.00"
Ashton Bracewell,LB,2,450.0,"$12,500.00"
Donny Hiebert,DB,3,350.0,"$22,000.00"
Brandon Torres,LB,2,450.0,"$12,500.00"
Andre Otto,OL,2,450.0,"$12,500.00"
Grant Fielder,DL,2,450.0,"$12,500.00"
Jaylen King,QB,3,350.0,"$22,000.00"
Kevin Wynn,DL,1,600.0,"$8,500.00"
Jayden Todd,OL,1,600.0,"$8,500.00"
James Williams,DL,3,350.0,"$22,000.00"
Chase Loftin,TE,1,600.0,"$8,500.00"
Jayvan Boggs,WR,1,600.0,"$8,500.00"
Mario Nash Jr.,OL,1,600.0,"$8,500.00"
Darryll Desir,DL,1,600.0,"$8,500.00"
Mandrell Desir,DL,1,600.0,"$8,500.00"
Tylon Lee,DL,1,600.0,"$8,500.00"
